"vial","file","replicate","resp_rate","id","stage","body_length","length_um","weight_ngC","weight_kgC","mass_spec_resp","resp_mL_h","treatment","group","source_cup","sex","date","days","stage_duration"
"Test - A2",1,"R1",0.00465378374883645,"R1_3","c1",0.371,371,353.097623727404,3.53097623727404e-10,0.614863568240694,0.000217106864862342,"heatstress","active",1,"M",2022-03-13,0,1
"Test - A3",1,"R1",0.00507745192110809,"R1_12","c1",0.351,351,300.344552174412,3.00344552174412e-10,0.788666544135363,0.000236871700013276,"control","active",2,"F",2022-03-13,0,2
"Test - A2",2,"R1",0.00105309268176643,"R1_3","c2",0.448,448,612.427635309621,6.12427635309621e-10,0.0802186163050171,4.91280974914914e-05,"heatstress","active",1,"M",2022-03-14,1,1
"Test - A3",2,"R1",0.000872608331726464,"R1_6","c1",0.323,323,235.610338917162,2.35610338917162e-10,0.172777968296097,4.07082756676623e-05,"control","active",6,"F",2022-03-14,1,4
"Test - A2",3,"R1",0.00829194019893294,"R1_3","c3",0.522,522,957.019633552471,9.57019633552471e-10,0.404204329195655,0.000386831479007148,"heatstress","active",1,"M",2022-03-15,2,1
"Test - A3",3,"R1",0.00333514131696567,"R1_7","c1",0.353,353,305.369120678238,3.05369120678238e-10,0.5095124130356,0.000155589357543328,"control","active",6,"F",2022-03-15,2,1
"Test - A4",3,"R1",0.00467228265690274,"R1_12","c2",0.425,425,525.071751939121,5.25071751939121e-10,0.415122335048223,0.000217969011732829,"control","active",2,"F",2022-03-15,2,1
"Test - A2",4,"R1",0.00688800104435258,"R1_3","c4",0.58,580,1301.76538762099,1.30176538762099e-09,0.246846251325268,0.000321335906039228,"heatstress","active",1,"M",2022-03-16,3,1
"Test - B2",4,"R1",0.00308517576842378,"R1_13","c1",0.343,343,280.790111500792,2.80790111500792e-10,0.512582947823348,0.000143928223072723,"control","active",2,"M",2022-03-16,3,1
"Test - A3",4,"R1",0.0035611964209762,"R1_5","c1",0.42,420,507.236978338404,5.07236978338404e-10,0.32752999115292,0.000166135323027611,"heatstress","active",3,NA,2022-03-16,3,2
"Test - B3",4,"R1",0.00120905312418355,"R1_28","c1",0.35,350,297.852787105998,2.97852787105998e-10,0.189369384366583,5.64041989261338e-05,"control","active",6,"F",2022-03-16,3,1
"Test - A5",4,"R1",0.00357485781357148,"R1_7","c2",0.427,427,532.319497868866,5.32319497868866e-10,0.313294269319772,0.000166772648129494,"control","active",6,"F",2022-03-16,3,1
"Test - A6",4,"R1",0.00641384480476831,"R1_12","c3",0.509,509,889.076033347288,8.89076033347288e-10,0.336546901064759,0.000299215783833978,"control","active",2,"F",2022-03-16,3,1
"Test - A2",5,"R1",0.00656965657594554,"R1_3","c5",0.672,672,2000.9731269463,2.0009731269463e-09,0.153168669225818,0.00030648639101099,"heatstress","active",1,"M",2022-03-17,4,2
"Test - B2",5,"R1",-0.00157096666427582,"R1_14","c1",0.372,372,355.883918066426,3.55883918066426e-10,-0.205933563049892,-7.32884432795748e-05,"heatstress","active",3,"M",2022-03-17,4,1
"Test - A3",5,"R1",0.0062653419738853,"R1_7","c3",0.503,503,858.818705761405,8.58818705761405e-10,0.340339074006426,0.000292289563058234,"control","active",6,"F",2022-03-17,4,1
"Test - B3",5,"R1",0.00174228188298734,"R1_15","c1",0.36,360,323.389772651423,3.23389772651423e-10,0.251339453890191,8.12806088518818e-05,"heatstress","active",3,"M",2022-03-17,4,1
"Test - A4",5,"R1",0.000193578415309211,"R1_11","c1",0.364,364,333.994272241896,3.33994272241896e-10,0.0270387393154545,9.03078406000357e-06,"control","active",4,"M",2022-03-17,4,2
"Test - B4",5,"R1",0.00141454119109557,"R1_18","c1",0.337,337,266.687272258224,2.66687272258224e-10,0.24744679704729,6.59909113335762e-05,"control","active",6,"F",2022-03-17,4,1
"Test - A5",5,"R1",0.00571896335404552,"R1_12","c4",0.607,607,1486.73633929982,1.48673633929982e-09,0.179453479898415,0.000266800009778783,"control","active",2,"F",2022-03-17,4,2
"Test - B5",5,"R1",-0.000163800403898704,"R1_28","c2",0.425,425,525.071751939121,5.25071751939121e-10,-0.014553412571931,-7.64158583583662e-06,"control","active",6,"F",2022-03-17,4,1
"Test - A6",5,"R1",0.00265844909369382,"R1_13","c2",0.449,449,616.427910678635,6.16427910678635e-10,0.201193794484807,0.000124021470375776,"control","active",2,"M",2022-03-17,4,2
"Test - B6",5,"R1",0.000442760663026555,"R1_29","c1",0.35,350,297.852787105998,2.97852787105998e-10,0.0693483110243088,2.0655587719684e-05,"heatstress","active",1,NA,2022-03-17,4,1
"Test - A2",6,"R1",0.00130627815279964,"R1_1","c1",0.343,343,280.790111500792,2.80790111500792e-10,0.217031754743854,6.09403706137393e-05,"heatstress","active",1,"F",2022-03-18,5,1
"Test - B2",6,"R1",0.00424420250668983,"R1_11","c3",0.5,500,843.947423097028,8.43947423097028e-10,0.234611952447396,0.000198000152695742,"control","active",4,"M",2022-03-19,6,2
"Test - C2",6,"R1",0.00255214726223504,"R1_23","c1",0.323,323,235.610338917162,2.35610338917162e-10,0.505336669562005,0.000119062543982774,"heatstress","active",5,"M",2022-03-18,5,2
"Test - A3",6,"R1",0.00471548891991258,"R1_5","c2",0.605,605,1472.47751845146,1.47247751845146e-09,0.149398928811349,0.000219986563955442,"heatstress","active",3,NA,2022-03-18,5,2
"Test - B3",6,"R1",0.00144527837978607,"R1_13","c4",0.578,578,1288.70130105028,1.28870130105028e-09,0.0523201122061857,6.74249966712084e-05,"control","active",2,"M",2022-03-19,6,1
"Test - C3",6,"R1",0.000350005844229342,"R1_25","c1",0.358,358,318.171603425535,3.18171603425535e-10,0.0513196052493872,1.6328441089363e-05,"heatstress","active",1,"F",2022-03-18,5,1
"Test - A4",6,"R1",0.0054799218403152,"R1_6","c4",0.6,600,1437.22455958042,1.43722455958042e-09,0.177876740231462,0.000255648819638765,"control","active",6,"F",2022-03-18,5,1
"Test - B4",6,"R1",-0.0025234892445257,"R1_14","c2",0.42,420,507.236978338404,5.07236978338404e-10,-0.232091897380932,-0.000117725592724331,"heatstress","active",3,"M",2022-03-18,5,3
"Test - C4",6,"R1",0.00647622844996357,"R1_28","c3",0.496,496,824.383847997767,8.24383847997767e-10,0.366489987038738,0.000302128425767646,"control","active",6,"F",2022-03-18,5,1
