"id","treatment","group","source_cup","sex","date","stage","days"
"R1_1","heatstress","active",1,"F",2022-03-13,"n",0
"R1_1","heatstress","active",1,"F",2022-03-14,"n",1
"R1_1","heatstress","active",1,"F",2022-03-15,"n",2
"R1_1","heatstress","active",1,"F",2022-03-16,"n",3
"R1_1","heatstress","active",1,"F",2022-03-17,"n",4
"R1_1","heatstress","active",1,"F",2022-03-18,"c1",5
"R1_1","heatstress","active",1,"F",2022-03-19,"c2",6
"R1_1","heatstress","active",1,"F",2022-03-20,"c3",7
"R1_1","heatstress","active",1,"F",2022-03-21,"c4",8
"R1_1","heatstress","active",1,"F",2022-03-22,"c4",9
"R1_1","heatstress","active",1,"F",2022-03-23,"c5",10
"R1_1","heatstress","active",1,"F",2022-03-24,"c5",11
"R1_1","heatstress","active",1,"F",2022-03-25,"c6",12
"R1_1","heatstress","active",1,"F",2022-03-26,"c6",13
"R1_1","heatstress","active",1,"F",2022-03-27,"c6",14
"R1_1","heatstress","active",1,"F",2022-03-28,"c6",15
"R1_2","control","backup",2,"F",2022-03-13,"n",0
"R1_2","control","backup",2,"F",2022-03-14,"n",1
"R1_2","control","backup",2,"F",2022-03-15,"c1",2
"R1_2","control","backup",2,"F",2022-03-16,"c1",3
"R1_2","control","backup",2,"F",2022-03-17,"c2",4
"R1_2","control","backup",2,"F",2022-03-18,"c3",5
"R1_2","control","backup",2,"F",2022-03-19,"c4",6
"R1_2","control","backup",2,"F",2022-03-20,"c4",7
"R1_2","control","backup",2,"F",2022-03-21,"c5",8
"R1_2","control","backup",2,"F",2022-03-22,"c5",9
"R1_2","control","backup",2,"F",2022-03-23,"c6",10
"R1_2","control","backup",2,"F",2022-03-24,"c6",11
"R1_2","control","backup",2,"F",2022-03-25,"c6",12
"R1_2","control","backup",2,"F",2022-03-26,"c6",13
"R1_2","control","backup",2,"F",2022-03-27,"c6",14
"R1_2","control","backup",2,"F",2022-03-28,"c6",15
"R1_3","heatstress","active",1,"M",2022-03-13,"c1",0
"R1_3","heatstress","active",1,"M",2022-03-14,"c2",1
"R1_3","heatstress","active",1,"M",2022-03-15,"c3",2
"R1_3","heatstress","active",1,"M",2022-03-16,"c4",3
"R1_3","heatstress","active",1,"M",2022-03-17,"c5",4
