"vial","replicate","resp_rate","temp","avg_length_mm","avg_length_um","weight_ngC_B88","weight_c_kg_B88","resp_rate_corr","resp_mL_h","msr_B88"
"Test - A2","R1",0.0144166036098054,"18",0.183833333333333,183.833333333333,99.4652611877843,9.94652611877842e-11,-0.000961106907320363,-4.48374634957538e-05,0.450785158157916
"Test - B2","R1",0.00974140228486639,"18",0.183833333333333,183.833333333333,99.4652611877843,9.94652611877842e-11,-0.000649426818991092,-3.02969951291491e-05,0.304598759077808
"Test - A3","R1",0.0132559871524026,"18",0.183833333333333,183.833333333333,99.4652611877843,9.94652611877842e-11,-0.000883732476826839,-4.12277992884381e-05,0.414494455613027
"Test - B3","R1",0.0107618886846783,"18",0.183833333333333,183.833333333333,99.4652611877843,9.94652611877842e-11,-0.000717459245645218,-3.34708371059347e-05,0.336507808919777
"Test - A4","R1",0.00902652408039305,"18",0.183833333333333,183.833333333333,99.4652611877843,9.94652611877842e-11,-0.000601768272026203,-2.80736333537597e-05,0.282245610361977
"Test - B4","R1",0.0126807677452668,"18",0.183833333333333,183.833333333333,99.4652611877843,9.94652611877842e-11,-0.000845384516351121,-3.94387940644923e-05,0.396508224012344
"Test - A5","R1",0.0130261894075321,"18",0.183833333333333,183.833333333333,99.4652611877843,9.94652611877842e-11,-0.000868412627168804,-4.05130991915283e-05,0.407309031391795
"Test - B5","R1",0.00309130494859691,"18",0.183833333333333,183.833333333333,99.4652611877843,9.94652611877842e-11,-0.000206086996573127,-9.61434999105364e-06,0.0966603804810037
"Test - A6","R1",0.0090161634497239,"18",0.183833333333333,183.833333333333,99.4652611877843,9.94652611877842e-11,-0.000601077563314926,-2.80414104799126e-05,0.281921649277854
"Test - B6","R1",0.0131975195800535,"18",0.183833333333333,183.833333333333,99.4652611877843,9.94652611877842e-11,-0.000879834638670234,-4.10459577318663e-05,0.412666263997176
"Test - A2","R1",0.0477068315125358,"28",0.204966666666667,204.966666666667,142.593142053468,1.42593142053468e-10,-0.00318045543416905,-0.000128524190265009,0.901335004013138
"Test - B2","R1",0.0514652564879898,"28",0.204966666666667,204.966666666667,142.593142053468,1.42593142053468e-10,-0.00343101709919932,-0.000138649543622737,0.97234370199057
"Test - A3","R1",0.0445142073572403,"28",0.204966666666667,204.966666666667,142.593142053468,1.42593142053468e-10,-0.00296761382381602,-0.000119923127872675,0.841016097588393
"Test - B3","R1",0.0486193903032129,"28",0.204966666666667,204.966666666667,142.593142053468,1.42593142053468e-10,-0.00324129268688086,-0.000130982661639495,0.918576165397772
"Test - A4","R1",0.0524134395700273,"28",0.204966666666667,204.966666666667,142.593142053468,1.42593142053468e-10,-0.00349422930466849,-0.000141203988321287,0.990257920456932
"Test - B4","R1",0.0464369412245548,"28",0.204966666666667,204.966666666667,142.593142053468,1.42593142053468e-10,-0.00309579608163699,-0.000125103052960066,0.877342704974942
"Test - A5","R1",0.0463807522306358,"28",0.204966666666667,204.966666666667,142.593142053468,1.42593142053468e-10,-0.00309205014870905,-0.000124951677471142,0.876281114727722
"Test - B5","R1",0.0441573854274925,"28",0.204966666666667,204.966666666667,142.593142053468,1.42593142053468e-10,-0.00294382569516616,-0.000118961834738429,0.834274587299731
"Test - A6","R1",0.0491748286102457,"28",0.204966666666667,204.966666666667,142.593142053468,1.42593142053468e-10,-0.00327832190734972,-0.000132479035563108,0.929070175853423
