"Time/Min.","Control - A1","Control - B1","Test - A2","Test - A3","Tm [°C]","p [mbar]","Salinity [g/1000g]","T_internal [°C]","rep","day_id","Test - A4","Test - B2","Test - B3","Test - A5","Test - A6","Test - B4","Test - B5","Test - B6","Test - C2","Test - C3","Test - C4","Test - C5","Control - C1","Test -B2","Test -A3","Test -B3","Test -A4","Test -B4","Test -A5","Test -A6"
352.97,94.43,90.43,92.65,87.5,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,94.28,90.29,92.5,87.36,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359.05,94.43,90.43,92.5,87.5,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362.08,94.43,90.58,92.5,87.5,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365.13,94.43,90.58,92.5,87.65,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368.17,94.28,90.43,92.35,87.36,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371.22,94.43,90.58,92.65,87.5,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374.27,94.43,90.58,92.5,87.36,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377.3,94.28,90.58,92.5,87.36,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380.35,94.43,90.43,92.5,87.36,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383.38,94.28,90.14,92.35,87.21,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386.43,94.43,90.43,92.5,87.21,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389.47,94.43,90.43,92.35,87.36,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392.52,94.28,90.43,92.35,87.21,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395.55,94.28,90.29,92.35,87.21,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398.6,94.43,90.29,92.5,87.36,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401.63,94.28,90.29,92.35,87.21,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404.68,94.28,90.29,92.2,87.21,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407.73,94.43,90.29,92.35,87.36,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410.77,94.43,90.43,92.2,87.21,18,1020.6,32,17.83,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413.82,94.28,90.29,92.2,87.06,18,1020.6,32,17.85,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416.85,94.43,90.58,92.35,87.21,18,1020.6,32,17.83,1,"R1_3_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
