"","id","treatment","group","source_cup"
"1",1,2,"active",1
"2",3,2,"active",1
"3",8,2,"backup",1
"4",16,2,"active",1
"5",25,2,"active",1
"6",29,2,"active",1
"7",2,1,"backup",2
"8",12,1,"active",2
"9",13,1,"active",2
"10",19,1,"active",2
"11",26,1,"active",2
"12",5,2,"active",3
"13",14,2,"active",3
"14",15,2,"active",3
"15",17,2,"backup",3
"16",21,2,"backup",3
"17",11,1,"active",4
"18",20,1,"backup",4
"19",24,1,"backup",4
"20",9,2,"active",5
"21",22,2,"backup",5
"22",23,2,"active",5
"23",27,2,"backup",5
"24",4,1,"backup",6
"25",6,1,"active",6
"26",7,1,"active",6
"27",10,1,"active",6
"28",18,1,"active",6
"29",28,1,"active",6
"30",30,1,"backup",6
