id,treatment,group,source_cup,sex,4_20_2022,4_21_2022,4_22_2022,4_23_2022,4_24_2022,4_25_2022,4_26_2022,4_27_2022,4_28_2022,4_29_2022,4_30_2022,5_1_2022,5_2_2022
1,heatstress,backup,4,,c1,c1,c2,c3,c3,c4,c5,c5,c6,c6,c6,c6,c6
2,control,backup,6,,n,n,c1,c1,c2,c2,c3,c4,c4,c5,c5,c6,c6
3,heatstress,active,5,,n,c1,c1,c1,c2,c3,c3,c4,c5,c5,c6,c6,c6
4,control,backup,6,,n,n,n,c1,c2,c2,c3,c4,c4,c5,c6,c6,c6
5,control,active,6,,n,n,c1,c2,c2,c3,c4,c4,c5,c5,c6,c6,c6
6,heatstress,backup,2,,c1,c1,c2,c2,c3,c4,c4,c5,c5,c6,c6,c6,c6
7,heatstress,backup,4,,n,n,c1,c1,c2,c2,x,x,x,x,x,x,x
8,heatstress,backup,5,,c1,c1,x,x,x,x,x,x,x,x,x,x,x
9,control,backup,6,,x,x,x,x,x,x,x,x,x,x,x,x,x
10,heatstress,active,2,,c1,c1,c2,c2,c3,c4,x,x,x,x,x,x,x
11,control,active,3,,n,c1,c1,c2,c3,c4,c4,c5,c5,c6,c6,c6,c6
12,control,backup,3,,c1,c2,c2,c3,c4,c4,c5,c6,c6,c6,c6,c6,c6
13,heatstress,backup,2,,n,n,c1,c1,c1,c2,c2,c3,c4,c4,c5,c6,c6
14,heatstress,backup,4,,n,n,n,n,n,x,x,x,x,x,x,x,x
15,heatstress,active,2,,n,n,n,c1,c1,c1,c2,x,x,x,x,x,x
16,heatstress,active,4,,c1,c1,c2,c3,c3,c4,c5,c5,c6,c6,c6,c6,c6
17,control,backup,1,,n,c1,c1,c2,c3,c3,c4,c5,c5,c6,c6,c6,c6
18,heatstress,backup,5,,n,n,n,n,n,n,n,n,n,n,c1,c1,c1
19,heatstress,backup,4,,n,c1,c1,c1,c2,c3,c3,c4,c4,c5,c6,c6,c6
20,heatstress,active,2,,c1,c1,c2,c2,c3,c3,c4,c5,c5,c5,c5,c5,c5
21,control,active,1,,n,n,c1,c2,c3,c4,c5,c5,c6,c6,c6,c6,c6
22,control,backup,3,,c1,c1,c2,c3,c3,c4,c5,c5,c6,c6,c6,c6,c6
23,control,backup,6,,x,x,x,x,x,x,x,x,x,x,x,x,x
24,heatstress,active,2,,c1,c1,c2,c3,c4,c4,c5,c5,c6,c6,c6,c6,c6
25,control,active,1,,n,n,c1,c1,c2,c2,c3,c4,c4,c5,c5,c5,c6
26,heatstress,active,5,,n,n,n,n,n,x,x,x,x,x,x,x,x
27,control,active,3,,c1,c1,c2,c2,c3,c3,c4,c4,c5,c5,c5,c6,c6
28,control,active,1,,n,c1,c1,c2,c3,c3,c4,c5,c5,c6,c6,c6,c6
29,control,active,1,,n,n,c1,c2,c2,c3,c4,c4,c5,c5,c6,c6,c6
30,control,active,1,,c1,c1,c2,c2,c3,c4,c4,c4,c4,c4,c4,c4,c4
31,heatstress,backup,2,,c1,c1,c2,x,x,x,x,x,x,x,x,x,x
32,control,backup,6,,n,c1,c2,c2,c3,c4,c4,c5,c5,c6,c6,c6,c6
33,heatstress,active,2,,c1,c1,c2,c3,c3,c4,c5,c5,c6,c6,c6,c6,c6
34,control,active,6,,n,c1,c2,c3,c3,c4,c5,c5,c6,c6,c6,c6,c6
35,heatstress,active,2,,n,n,n,n,c1,c1,c1,c2,c3,c3,c4,c5,c5
36,control,active,6,,n,n,n,c1,c1,c2,c3,c4,c4,c5,c6,c6,c6
37,control,backup,1,,n,c1,c2,c2,c3,c4,c4,c5,c6,c6,c6,c6,c6
38,control,backup,3,,n,n,n,n,n,c1,c1,c2,c2,c3,c4,c5,c5
39,control,backup,6,,c1,c2,c3,c3,c4,c5,c5,c6,c6,c6,c6,c6,c6
40,heatstress,active,2,,c1,c2,c2,c3,c4,c5,c5,c6,c6,c6,c6,c6,c6
