"","id","treatment","group","source_cup"
"1",14,1,"backup",1
"2",15,1,"active",1
"3",18,1,"active",1
"4",25,1,"backup",1
"5",32,1,"active",1
"6",35,1,"backup",1
"7",39,1,"backup",1
"8",7,2,"active",2
"9",8,2,"backup",2
"10",9,2,"active",2
"11",19,2,"active",2
"12",26,2,"backup",2
"13",33,2,"active",2
"14",5,2,"active",3
"15",10,2,"active",3
"16",16,2,"backup",3
"17",22,2,"backup",3
"18",30,2,"backup",3
"19",31,2,"backup",3
"20",38,2,"backup",3
"21",6,1,"active",4
"22",20,1,"backup",4
"23",21,1,"backup",4
"24",23,1,"active",4
"25",29,1,"active",4
"26",36,1,"active",4
"27",40,1,"backup",4
"28",1,2,"active",5
"29",2,2,"active",5
"30",3,2,"active",5
"31",4,2,"active",5
"32",12,2,"backup",5
"33",27,2,"backup",5
"34",34,2,"backup",5
"35",11,1,"backup",6
"36",13,1,"backup",6
"37",17,1,"active",6
"38",24,1,"active",6
"39",28,1,"active",6
"40",37,1,"backup",6
