"","id","treatment","group","source_cup"
"1",14,"control","backup",1
"2",15,"control","active",1
"3",18,"control","active",1
"4",25,"control","backup",1
"5",32,"control","active",1
"6",35,"control","backup",1
"7",39,"control","backup",1
"8",7,"heatstress","active",2
"9",8,"heatstress","backup",2
"10",9,"heatstress","active",2
"11",19,"heatstress","active",2
"12",26,"heatstress","backup",2
"13",33,"heatstress","active",2
"14",5,"heatstress","active",3
"15",10,"heatstress","active",3
"16",16,"heatstress","backup",3
"17",22,"heatstress","backup",3
"18",30,"heatstress","backup",3
"19",31,"heatstress","backup",3
"20",38,"heatstress","backup",3
"21",6,"control","active",4
"22",20,"control","backup",4
"23",21,"control","backup",4
"24",23,"control","active",4
"25",29,"control","active",4
"26",36,"control","active",4
"27",40,"control","backup",4
"28",1,"heatstress","active",5
"29",2,"heatstress","active",5
"30",3,"heatstress","active",5
"31",4,"heatstress","active",5
"32",12,"heatstress","backup",5
"33",27,"heatstress","backup",5
"34",34,"heatstress","backup",5
"35",11,"control","backup",6
"36",13,"control","backup",6
"37",17,"control","active",6
"38",24,"control","active",6
"39",28,"control","active",6
"40",37,"control","backup",6
